position,diseased,total,transect_no,latitude,longitude
1,13,81,T7,17.094237,-88.000022
2,22,141,T8,17.0846,-87.989921
3,1,133,T9,17.072595,-87.98857
4,3,115,T4,16.924358,-88.047774
5,1,141,T5,16.90105,-88.056668
6,12,116,T6,16.888622,-88.061413
7,29,206,T1,16.823254,-88.077474
8,18,141,T2,16.817688,-88.078444
9,5,129,T3,16.811781,-88.078269
10,6,147,T16,16.79225,-88.07773
11,1,175,T17,16.78811,-88.07681
12,1,151,T18,16.78199,-88.07589
13,5,178,T12,16.737252,-88.073241
14,2,265,T11,16.728575,-88.0732
15,2,187,T10,16.724911,-88.072778
16,13,185,T19,16.71221799,-88.07273501
17,13,205,T20,16.70042801,-88.07218599