species,corrected_name
Ag fragilis,A. fragilis
Ag. agaricites,A. agaricites
Ag. tenuifolia,A. tenuifolia
Colpo. natans,C. natans
Dichocoenia ,D. stokesii
Dipl. clivosa,P. clivosa
Dipl. labyrinth.,D. labyrinthiformis
Dipl. strigosa,P. strigosa
Eusmilia fast.,E. fastigiata
Favia fragum,F. fragum
Helio cuc.,H. cucullata
Isophyllia,Isophyllia spp.
M. cavernosa,M. cavernosa
Madracis decac.,M. decactis
Madracis mir.,M. auretenra
Meandrina mea.,M. meandrites
Mycetophyllia,Mycetophyllia spp.
Orbicella spp.,Orbicella spp.
P. astreoides,P. astreoides
P. porites,P. porites
Sid. radians,S. radians
Sid. siderea,S. siderea
Stephanocoenia,Stephanocoenia spp.