site,year,transect,species,count
sr disease,2019,2,Mycetophyllia,
sr disease,2019,2,Orbicella,1
sr disease,2019,2,P. astreoides,55
sr disease,2019,2,P. porites,38
sr disease,2019,2,P. furcata,
sr disease,2019,2,Sid. siderea,63
sr disease,2019,2,Sid. radians,
sr disease,2019,2,Stephanocoenia,5
sr disease,2019,2,tot colonies,344
SW,2022,1,Ag. agaricites,43
SW,2022,1,Ag. tenufolia,9
SW,2022,1,Ag fragilis,
SW,2022,1,Ag humilis,
SW,2022,1,Colpo. natans,
SW,2022,1,Dichocoenia ,
SW,2022,1,Dipl. clivosa,
SW,2022,1,Dipl. labyrinth.,
SW,2022,1,Dipl. strigosa,3
SW,2022,1,Eusmilia fast.,1
SW,2022,1,Favia fragum,
SW,2022,1,Isophyllia,
SW,2022,1,Helio cuc.,
SW,2022,1,Madracis mir.,
SW,2022,1,Madracis decac.,
SW,2022,1,Meandrina mea.,
SW,2022,1,M. cavernosa,
SW,2022,1,O. faveolata,1
SW,2022,1,O. franksi,
SW,2022,1,O. annularis,26
SW,2022,1,Mycetophyllia,
SW,2022,1,Orbicella,
SW,2022,1,P. astreoides,13
SW,2022,1,P. porites,17
SW,2022,1,P. furcata,
SW,2022,1,Sid. siderea,8
SW,2022,1,Sid. radians,
SW,2022,1,Stephanocoenia,4
SW,2022,1,tot colonies,121
SW,2022,2,Ag. agaricites,89
SW,2022,2,Ag. tenufolia,
SW,2022,2,Ag fragilis,
SW,2022,2,Ag humilis,
SW,2022,2,Colpo. natans,
SW,2022,2,Dichocoenia ,
SW,2022,2,Dipl. clivosa,
SW,2022,2,Dipl. labyrinth.,
SW,2022,2,Dipl. strigosa,5
SW,2022,2,Eusmilia fast.,
SW,2022,2,Favia fragum,
SW,2022,2,Isophyllia,
SW,2022,2,Helio cuc.,
SW,2022,2,Madracis mir.,
SW,2022,2,Madracis decac.,
SW,2022,2,Meandrina mea.,
SW,2022,2,M. cavernosa,1
SW,2022,2,O. faveolata,1
SW,2022,2,O. franksi,
SW,2022,2,O. annularis,7
SW,2022,2,Mycetophyllia,
SW,2022,2,Orbicella,
SW,2022,2,P. astreoides,57
SW,2022,2,P. porites,17
SW,2022,2,P. furcata,
SW,2022,2,Sid. siderea,12
SW,2022,2,Sid. radians,
SW,2022,2,Stephanocoenia,12
SW,2022,2,tot colonies,201
sr disease,2022,1,Ag. agaricites,73
sr disease,2022,1,Ag. tenufolia,24
sr disease,2022,1,Ag fragilis,
sr disease,2022,1,Ag humilis,
sr disease,2022,1,Colpo. natans,
sr disease,2022,1,Dichocoenia ,
sr disease,2022,1,Dipl. clivosa,
sr disease,2022,1,Dipl. labyrinth.,
sr disease,2022,1,Dipl. strigosa,2
sr disease,2022,1,Eusmilia fast.,
sr disease,2022,1,Favia fragum,
sr disease,2022,1,Isophyllia,
sr disease,2022,1,Helio cuc.,1
sr disease,2022,1,Madracis mir.,
sr disease,2022,1,Madracis decac.,
sr disease,2022,1,Meandrina mea.,
sr disease,2022,1,M. cavernosa,2
sr disease,2022,1,O. faveolata,
sr disease,2022,1,O. franksi,1
sr disease,2022,1,O. annularis,1
sr disease,2022,1,Mycetophyllia,
sr disease,2022,1,Orbicella,
sr disease,2022,1,P. astreoides,28
sr disease,2022,1,P. porites,40
sr disease,2022,1,P. furcata,
sr disease,2022,1,Sid. siderea,24
sr disease,2022,1,Sid. radians,
sr disease,2022,1,Stephanocoenia,4
sr disease,2022,1,tot colonies,200
sr disease,2022,2,Ag. agaricites,92
sr disease,2022,2,Ag. tenufolia,36
sr disease,2022,2,Ag fragilis,1
sr disease,2022,2,Ag humilis,
sr disease,2022,2,Colpo. natans,
sr disease,2022,2,Dichocoenia ,
sr disease,2022,2,Dipl. clivosa,
sr disease,2022,2,Dipl. labyrinth.,2
sr disease,2022,2,Dipl. strigosa,5
sr disease,2022,2,Eusmilia fast.,
sr disease,2022,2,Favia fragum,
sr disease,2022,2,Isophyllia,
sr disease,2022,2,Helio cuc.,
sr disease,2022,2,Madracis mir.,
sr disease,2022,2,Madracis decac.,
sr disease,2022,2,Meandrina mea.,
sr disease,2022,2,M. cavernosa,3
sr disease,2022,2,O. faveolata,
sr disease,2022,2,O. franksi,
sr disease,2022,2,O. annularis,
sr disease,2022,2,Mycetophyllia,
sr disease,2022,2,Orbicella,
sr disease,2022,2,P. astreoides,47
sr disease,2022,2,P. porites,23
sr disease,2022,2,P. furcata,
sr disease,2022,2,Sid. siderea,22
sr disease,2022,2,Sid. radians,1
sr disease,2022,2,Stephanocoenia,3
sr disease,2022,2,tot colonies,235
sr 30S,2022,1,Ag. agaricites,84
sr 30S,2022,1,Ag. tenufolia,28
sr 30S,2022,1,Ag fragilis,
sr 30S,2022,1,Ag humilis,
sr 30S,2022,1,Colpo. natans,
sr 30S,2022,1,Dichocoenia ,
sr 30S,2022,1,Dipl. clivosa,
sr 30S,2022,1,Dipl. labyrinth.,
sr 30S,2022,1,Dipl. strigosa,2
sr 30S,2022,1,Eusmilia fast.,
sr 30S,2022,1,Favia fragum,
sr 30S,2022,1,Isophyllia,
sr 30S,2022,1,Helio cuc.,2
sr 30S,2022,1,Madracis mir.,
sr 30S,2022,1,Madracis decac.,
sr 30S,2022,1,Meandrina mea.,
sr 30S,2022,1,M. cavernosa,1
sr 30S,2022,1,O. faveolata,4
sr 30S,2022,1,O. franksi,
sr 30S,2022,1,O. annularis,17
sr 30S,2022,1,Mycetophyllia,
sr 30S,2022,1,Orbicella,
sr 30S,2022,1,P. astreoides,34
sr 30S,2022,1,P. porites,34
sr 30S,2022,1,P. furcata,
sr 30S,2022,1,Sid. siderea,31
sr 30S,2022,1,Sid. radians,
sr 30S,2022,1,Stephanocoenia,1
sr 30S,2022,1,tot colonies,238
sr 30S,2022,2,Ag. agaricites,86
sr 30S,2022,2,Ag. tenufolia,11
sr 30S,2022,2,Ag fragilis,
sr 30S,2022,2,Ag humilis,
sr 30S,2022,2,Colpo. natans,
sr 30S,2022,2,Dichocoenia ,
sr 30S,2022,2,Dipl. clivosa,
sr 30S,2022,2,Dipl. labyrinth.,
sr 30S,2022,2,Dipl. strigosa,2
sr 30S,2022,2,Eusmilia fast.,
sr 30S,2022,2,Favia fragum,
sr 30S,2022,2,Isophyllia,
sr 30S,2022,2,Helio cuc.,
sr 30S,2022,2,Madracis mir.,
sr 30S,2022,2,Madracis decac.,
sr 30S,2022,2,Meandrina mea.,
sr 30S,2022,2,M. cavernosa,2
sr 30S,2022,2,O. faveolata,2
sr 30S,2022,2,O. franksi,
sr 30S,2022,2,O. annularis,4
sr 30S,2022,2,Mycetophyllia,
sr 30S,2022,2,Orbicella,
sr 30S,2022,2,P. astreoides,43
sr 30S,2022,2,P. porites,15
sr 30S,2022,2,P. furcata,
sr 30S,2022,2,Sid. siderea,16
sr 30S,2022,2,Sid. radians,
sr 30S,2022,2,Stephanocoenia,1
sr 30S,2022,2,tot colonies,182
sr30C,2022,1,Ag. agaricites,51
sr30C,2022,1,Ag. tenufolia,15
sr30C,2022,1,Ag fragilis,1
sr30C,2022,1,Ag humilis,
sr30C,2022,1,Colpo. natans,
sr30C,2022,1,Dichocoenia ,
sr30C,2022,1,Dipl. clivosa,
sr30C,2022,1,Dipl. labyrinth.,
sr30C,2022,1,Dipl. strigosa,
sr30C,2022,1,Eusmilia fast.,
sr30C,2022,1,Favia fragum,
sr30C,2022,1,Isophyllia,
sr30C,2022,1,Helio cuc.,
sr30C,2022,1,Madracis mir.,
sr30C,2022,1,Madracis decac.,
sr30C,2022,1,Meandrina mea.,
sr30C,2022,1,M. cavernosa,1
sr30C,2022,1,O. faveolata,2
sr30C,2022,1,O. franksi,
sr30C,2022,1,O. annularis,3
sr30C,2022,1,Mycetophyllia,
sr30C,2022,1,Orbicella,
sr30C,2022,1,P. astreoides,60
sr30C,2022,1,P. porites,21
sr30C,2022,1,P. furcata,
sr30C,2022,1,Sid. siderea,17
sr30C,2022,1,Sid. radians,
sr30C,2022,1,Stephanocoenia,1
sr30C,2022,1,tot colonies,172
sr30C,2022,2,Ag. agaricites,69
sr30C,2022,2,Ag. tenufolia,11
sr30C,2022,2,Ag fragilis,
sr30C,2022,2,Ag humilis,
sr30C,2022,2,Colpo. natans,
sr30C,2022,2,Dichocoenia ,1
sr30C,2022,2,Dipl. clivosa,
sr30C,2022,2,Dipl. labyrinth.,2
sr30C,2022,2,Dipl. strigosa,3
sr30C,2022,2,Eusmilia fast.,
sr30C,2022,2,Favia fragum,
sr30C,2022,2,Isophyllia,
sr30C,2022,2,Helio cuc.,3
sr30C,2022,2,Madracis mir.,
sr30C,2022,2,Madracis decac.,2
sr30C,2022,2,Meandrina mea.,
sr30C,2022,2,M. cavernosa,3
sr30C,2022,2,O. faveolata,
sr30C,2022,2,O. franksi,
sr30C,2022,2,O. annularis,16
sr30C,2022,2,Mycetophyllia,
sr30C,2022,2,Orbicella,
sr30C,2022,2,P. astreoides,48
sr30C,2022,2,P. porites,35
sr30C,2022,2,P. furcata,
sr30C,2022,2,Sid. siderea,22
sr30C,2022,2,Sid. radians,1
sr30C,2022,2,Stephanocoenia,3
sr30C,2022,2,tot colonies,219
sr 30N,2022,1,Ag. agaricites,44
sr 30N,2022,1,Ag. tenufolia,19
sr 30N,2022,1,Ag fragilis,1
sr 30N,2022,1,Ag humilis,
sr 30N,2022,1,Colpo. natans,
sr 30N,2022,1,Dichocoenia ,
sr 30N,2022,1,Dipl. clivosa,
sr 30N,2022,1,Dipl. labyrinth.,
sr 30N,2022,1,Dipl. strigosa,1
sr 30N,2022,1,Eusmilia fast.,
sr 30N,2022,1,Favia fragum,
sr 30N,2022,1,Isophyllia,
sr 30N,2022,1,Helio cuc.,
sr 30N,2022,1,Madracis mir.,
sr 30N,2022,1,Madracis decac.,
sr 30N,2022,1,Meandrina mea.,
sr 30N,2022,1,M. cavernosa,3
sr 30N,2022,1,O. faveolata,1
sr 30N,2022,1,O. franksi,
sr 30N,2022,1,O. annularis,5
sr 30N,2022,1,Mycetophyllia,
sr 30N,2022,1,Orbicella,
sr 30N,2022,1,P. astreoides,29
sr 30N,2022,1,P. porites,16
sr 30N,2022,1,P. furcata,
sr 30N,2022,1,Sid. siderea,20
sr 30N,2022,1,Sid. radians,
sr 30N,2022,1,Stephanocoenia,5
sr 30N,2022,1,tot colonies,144
sr 30N,2022,2,Ag. agaricites,52
sr 30N,2022,2,Ag. tenufolia,16
sr 30N,2022,2,Ag fragilis,
sr 30N,2022,2,Ag humilis,
sr 30N,2022,2,Colpo. natans,
sr 30N,2022,2,Dichocoenia ,1
sr 30N,2022,2,Dipl. clivosa,
sr 30N,2022,2,Dipl. labyrinth.,2
sr 30N,2022,2,Dipl. strigosa,
sr 30N,2022,2,Eusmilia fast.,
sr 30N,2022,2,Favia fragum,
sr 30N,2022,2,Isophyllia,
sr 30N,2022,2,Helio cuc.,
sr 30N,2022,2,Madracis mir.,1
sr 30N,2022,2,Madracis decac.,8
sr 30N,2022,2,Meandrina mea.,
sr 30N,2022,2,M. cavernosa,5
sr 30N,2022,2,O. faveolata,3
sr 30N,2022,2,O. franksi,5
sr 30N,2022,2,O. annularis,5
sr 30N,2022,2,Mycetophyllia,
sr 30N,2022,2,Orbicella,
sr 30N,2022,2,P. astreoides,32
sr 30N,2022,2,P. porites,45
sr 30N,2022,2,P. furcata,
sr 30N,2022,2,Sid. siderea,28
sr 30N,2022,2,Sid. radians,
sr 30N,2022,2,Stephanocoenia,4
sr 30N,2022,2,tot colonies,207
cbc 30C,2022,1,Ag. agaricites,61
cbc 30C,2022,1,Ag. tenufolia,27
cbc 30C,2022,1,Ag fragilis,
cbc 30C,2022,1,Ag humilis,
cbc 30C,2022,1,Colpo. natans,
cbc 30C,2022,1,Dichocoenia ,
cbc 30C,2022,1,Dipl. clivosa,
cbc 30C,2022,1,Dipl. labyrinth.,1
cbc 30C,2022,1,Dipl. strigosa,
cbc 30C,2022,1,Eusmilia fast.,
cbc 30C,2022,1,Favia fragum,
cbc 30C,2022,1,Isophyllia,
cbc 30C,2022,1,Helio cuc.,
cbc 30C,2022,1,Madracis mir.,
cbc 30C,2022,1,Madracis decac.,
cbc 30C,2022,1,Meandrina mea.,
cbc 30C,2022,1,M. cavernosa,1
cbc 30C,2022,1,O. faveolata,6
cbc 30C,2022,1,O. franksi,
cbc 30C,2022,1,O. annularis,3
cbc 30C,2022,1,Mycetophyllia,
cbc 30C,2022,1,Orbicella,
cbc 30C,2022,1,P. astreoides,60
cbc 30C,2022,1,P. porites,32
cbc 30C,2022,1,P. furcata,
cbc 30C,2022,1,Sid. siderea,29
cbc 30C,2022,1,Sid. radians,3
cbc 30C,2022,1,Stephanocoenia,2
cbc 30C,2022,1,tot colonies,225
cbc 30C,2022,2,Ag. agaricites,64
cbc 30C,2022,2,Ag. tenufolia,36
cbc 30C,2022,2,Ag fragilis,
cbc 30C,2022,2,Ag humilis,
cbc 30C,2022,2,Colpo. natans,
cbc 30C,2022,2,Dichocoenia ,
cbc 30C,2022,2,Dipl. clivosa,
cbc 30C,2022,2,Dipl. labyrinth.,2
cbc 30C,2022,2,Dipl. strigosa,4
cbc 30C,2022,2,Eusmilia fast.,
cbc 30C,2022,2,Favia fragum,
cbc 30C,2022,2,Isophyllia,
cbc 30C,2022,2,Helio cuc.,3
cbc 30C,2022,2,Madracis mir.,
cbc 30C,2022,2,Madracis decac.,
cbc 30C,2022,2,Meandrina mea.,
cbc 30C,2022,2,M. cavernosa,1
cbc 30C,2022,2,O. faveolata,4
cbc 30C,2022,2,O. franksi,
cbc 30C,2022,2,O. annularis,1
cbc 30C,2022,2,Mycetophyllia,
cbc 30C,2022,2,Orbicella,
cbc 30C,2022,2,P. astreoides,45
cbc 30C,2022,2,P. porites,11
cbc 30C,2022,2,P. furcata,
cbc 30C,2022,2,Sid. siderea,20
cbc 30C,2022,2,Sid. radians,1
cbc 30C,2022,2,Stephanocoenia,4
cbc 30C,2022,2,tot colonies,196
cbc 30N,2022,1,Ag. agaricites,43
cbc 30N,2022,1,Ag. tenufolia,23
cbc 30N,2022,1,Ag fragilis,
cbc 30N,2022,1,Ag humilis,
cbc 30N,2022,1,Colpo. natans,
cbc 30N,2022,1,Dichocoenia ,
cbc 30N,2022,1,Dipl. clivosa,
cbc 30N,2022,1,Dipl. labyrinth.,
cbc 30N,2022,1,Dipl. strigosa,
cbc 30N,2022,1,Eusmilia fast.,
cbc 30N,2022,1,Favia fragum,
cbc 30N,2022,1,Isophyllia,
cbc 30N,2022,1,Helio cuc.,
cbc 30N,2022,1,Madracis mir.,
cbc 30N,2022,1,Madracis decac.,3
cbc 30N,2022,1,Meandrina mea.,
cbc 30N,2022,1,M. cavernosa,2
cbc 30N,2022,1,O. faveolata,2
cbc 30N,2022,1,O. franksi,1
cbc 30N,2022,1,O. annularis,3
cbc 30N,2022,1,Mycetophyllia,
cbc 30N,2022,1,Orbicella,
cbc 30N,2022,1,P. astreoides,59
cbc 30N,2022,1,P. porites,8
cbc 30N,2022,1,P. furcata,
cbc 30N,2022,1,Sid. siderea,25
cbc 30N,2022,1,Sid. radians,1
cbc 30N,2022,1,Stephanocoenia,9
cbc 30N,2022,1,tot colonies,179
cbc 30N,2022,2,Ag. agaricites,104
cbc 30N,2022,2,Ag. tenufolia,11
cbc 30N,2022,2,Ag fragilis,
cbc 30N,2022,2,Ag humilis,
cbc 30N,2022,2,Colpo. natans,
cbc 30N,2022,2,Dichocoenia ,1
cbc 30N,2022,2,Dipl. clivosa,
cbc 30N,2022,2,Dipl. labyrinth.,
cbc 30N,2022,2,Dipl. strigosa,5
cbc 30N,2022,2,Eusmilia fast.,
cbc 30N,2022,2,Favia fragum,
cbc 30N,2022,2,Isophyllia,
cbc 30N,2022,2,Helio cuc.,2
cbc 30N,2022,2,Madracis mir.,
cbc 30N,2022,2,Madracis decac.,1
cbc 30N,2022,2,Meandrina mea.,
cbc 30N,2022,2,M. cavernosa,3
cbc 30N,2022,2,O. faveolata,1
cbc 30N,2022,2,O. franksi,
cbc 30N,2022,2,O. annularis,15
cbc 30N,2022,2,Mycetophyllia,
cbc 30N,2022,2,Orbicella,
cbc 30N,2022,2,P. astreoides,66
cbc 30N,2022,2,P. porites,10
cbc 30N,2022,2,P. furcata,
cbc 30N,2022,2,Sid. siderea,25
cbc 30N,2022,2,Sid. radians,
cbc 30N,2022,2,Stephanocoenia,13
cbc 30N,2022,2,tot colonies,257
cbc lagoon reef,2022,1,Ag. agaricites,25
cbc lagoon reef,2022,1,Ag. tenufolia,77
cbc lagoon reef,2022,1,Ag fragilis,
cbc lagoon reef,2022,1,Ag humilis,
cbc lagoon reef,2022,1,Colpo. natans,
cbc lagoon reef,2022,1,Dichocoenia ,
cbc lagoon reef,2022,1,Dipl. clivosa,
cbc lagoon reef,2022,1,Dipl. labyrinth.,
cbc lagoon reef,2022,1,Dipl. strigosa,1
cbc lagoon reef,2022,1,Eusmilia fast.,
cbc lagoon reef,2022,1,Favia fragum,
cbc lagoon reef,2022,1,Isophyllia,
cbc lagoon reef,2022,1,Helio cuc.,
cbc lagoon reef,2022,1,Madracis mir.,
cbc lagoon reef,2022,1,Madracis decac.,
cbc lagoon reef,2022,1,Meandrina mea.,
cbc lagoon reef,2022,1,M. cavernosa,3
cbc lagoon reef,2022,1,O. faveolata,1
cbc lagoon reef,2022,1,O. franksi,
cbc lagoon reef,2022,1,O. annularis,2
cbc lagoon reef,2022,1,Mycetophyllia,
cbc lagoon reef,2022,1,Orbicella,
cbc lagoon reef,2022,1,P. astreoides,38
cbc lagoon reef,2022,1,P. porites,12
cbc lagoon reef,2022,1,P. furcata,
cbc lagoon reef,2022,1,Sid. siderea,16
cbc lagoon reef,2022,1,Sid. radians,
cbc lagoon reef,2022,1,Stephanocoenia,
cbc lagoon reef,2022,1,tot colonies,175
cbc lagoon reef,2022,2,Ag. agaricites,35
cbc lagoon reef,2022,2,Ag. tenufolia,56
cbc lagoon reef,2022,2,Ag fragilis,
cbc lagoon reef,2022,2,Ag humilis,
cbc lagoon reef,2022,2,Colpo. natans,
cbc lagoon reef,2022,2,Dichocoenia ,
cbc lagoon reef,2022,2,Dipl. clivosa,
cbc lagoon reef,2022,2,Dipl. labyrinth.,
cbc lagoon reef,2022,2,Dipl. strigosa,
cbc lagoon reef,2022,2,Eusmilia fast.,
cbc lagoon reef,2022,2,Favia fragum,
cbc lagoon reef,2022,2,Isophyllia,
cbc lagoon reef,2022,2,Helio cuc.,
cbc lagoon reef,2022,2,Madracis mir.,
cbc lagoon reef,2022,2,Madracis decac.,
cbc lagoon reef,2022,2,Meandrina mea.,
cbc lagoon reef,2022,2,M. cavernosa,4
cbc lagoon reef,2022,2,O. faveolata,2
cbc lagoon reef,2022,2,O. franksi,
cbc lagoon reef,2022,2,O. annularis,29
cbc lagoon reef,2022,2,Mycetophyllia,
cbc lagoon reef,2022,2,Orbicella,
cbc lagoon reef,2022,2,P. astreoides,25
cbc lagoon reef,2022,2,P. porites,9
cbc lagoon reef,2022,2,P. furcata,
cbc lagoon reef,2022,2,Sid. siderea,12
cbc lagoon reef,2022,2,Sid. radians,
cbc lagoon reef,2022,2,Stephanocoenia,1
cbc lagoon reef,2022,2,tot colonies,173
cbc 30S,2022,1,Ag. agaricites,32
cbc 30S,2022,1,Ag. tenufolia,16
cbc 30S,2022,1,Ag fragilis,
cbc 30S,2022,1,Ag humilis,
cbc 30S,2022,1,Colpo. natans,
cbc 30S,2022,1,Dichocoenia ,
cbc 30S,2022,1,Dipl. clivosa,
cbc 30S,2022,1,Dipl. labyrinth.,
cbc 30S,2022,1,Dipl. strigosa,1
cbc 30S,2022,1,Eusmilia fast.,
cbc 30S,2022,1,Favia fragum,
cbc 30S,2022,1,Isophyllia,
cbc 30S,2022,1,Helio cuc.,
cbc 30S,2022,1,Madracis mir.,
cbc 30S,2022,1,Madracis decac.,
cbc 30S,2022,1,Meandrina mea.,
cbc 30S,2022,1,M. cavernosa,3
cbc 30S,2022,1,O. faveolata,4
cbc 30S,2022,1,O. franksi,
cbc 30S,2022,1,O. annularis,3
cbc 30S,2022,1,Mycetophyllia,
cbc 30S,2022,1,Orbicella,
cbc 30S,2022,1,P. astreoides,27
cbc 30S,2022,1,P. porites,10
cbc 30S,2022,1,P. furcata,
cbc 30S,2022,1,Sid. siderea,34
cbc 30S,2022,1,Sid. radians,
cbc 30S,2022,1,Stephanocoenia,11
cbc 30S,2022,1,tot colonies,141
cbc 30S,2022,2,Ag. agaricites,43
cbc 30S,2022,2,Ag. tenufolia,2
cbc 30S,2022,2,Ag fragilis,
cbc 30S,2022,2,Ag humilis,
cbc 30S,2022,2,Colpo. natans,
cbc 30S,2022,2,Dichocoenia ,
cbc 30S,2022,2,Dipl. clivosa,
cbc 30S,2022,2,Dipl. labyrinth.,1
cbc 30S,2022,2,Dipl. strigosa,
cbc 30S,2022,2,Eusmilia fast.,
cbc 30S,2022,2,Favia fragum,
cbc 30S,2022,2,Isophyllia,
cbc 30S,2022,2,Helio cuc.,
cbc 30S,2022,2,Madracis mir.,
cbc 30S,2022,2,Madracis decac.,
cbc 30S,2022,2,Meandrina mea.,
cbc 30S,2022,2,M. cavernosa,1
cbc 30S,2022,2,O. faveolata,5
cbc 30S,2022,2,O. franksi,1
cbc 30S,2022,2,O. annularis,1
cbc 30S,2022,2,Mycetophyllia,
cbc 30S,2022,2,Orbicella,
cbc 30S,2022,2,P. astreoides,21
cbc 30S,2022,2,P. porites,1
cbc 30S,2022,2,P. furcata,
cbc 30S,2022,2,Sid. siderea,27
cbc 30S,2022,2,Sid. radians,
cbc 30S,2022,2,Stephanocoenia,7
cbc 30S,2022,2,tot colonies,110
SR30 S,2024,1,Ag. agaricites,25
SR30 S,2024,1,Ag. tenufolia,0
